DATE,STTMINWGAK
1968-01-01,2.1
1969-01-01,2.1
1970-01-01,2.1
1971-01-01,2.1
1972-01-01,2.1
1973-01-01,2.1
1974-01-01,2.1
1975-01-01,2.1
1976-01-01,2.8
1977-01-01,2.8
1978-01-01,2.8
1979-01-01,3.4
1980-01-01,3.6
1981-01-01,3.85
1982-01-01,3.85
1983-01-01,3.85
1984-01-01,3.85
1985-01-01,3.85
1986-01-01,3.85
1987-01-01,3.85
1988-01-01,3.85
1989-01-01,3.85
1990-01-01,3.85
1991-01-01,4.3
1992-01-01,4.75
1993-01-01,4.75
1994-01-01,4.75
1995-01-01,4.75
1996-01-01,4.75
1997-01-01,5.25
1998-01-01,5.65
1999-01-01,5.65
2000-01-01,5.65
2001-01-01,5.65
2002-01-01,5.65
2003-01-01,7.15
2004-01-01,7.15
2005-01-01,7.15
2006-01-01,7.15
2007-01-01,7.15
2008-01-01,7.15
2009-01-01,7.15
2010-01-01,7.75
2011-01-01,7.75
2012-01-01,7.75
2013-01-01,7.75
2014-01-01,7.75
2015-01-01,8.75
2016-01-01,9.75
2017-01-01,9.8
2018-01-01,9.84
2019-01-01,9.89
2020-01-01,10.19
2021-01-01,10.34
2022-01-01,10.34
2023-01-01,10.85
