DATE,STTMINWGCO
1968-01-01,1.25
1969-01-01,1.25
1970-01-01,1.25
1971-01-01,1.25
1972-01-01,1.25
1973-01-01,1.25
1974-01-01,1.25
1975-01-01,1.25
1976-01-01,1.25
1977-01-01,1.25
1978-01-01,1.25
1979-01-01,1.9
1980-01-01,1.9
1981-01-01,1.9
1982-01-01,1.9
1983-01-01,1.9
1984-01-01,1.9
1985-01-01,1.9
1986-01-01,1.9
1987-01-01,1.9
1988-01-01,3
1989-01-01,3
1990-01-01,3
1991-01-01,3
1992-01-01,3
1993-01-01,3
1994-01-01,3
1995-01-01,3
1996-01-01,3
1997-01-01,4.75
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.15
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,5.15
2007-01-01,6.85
2008-01-01,7.02
2009-01-01,7.28
2010-01-01,7.24
2011-01-01,7.36
2012-01-01,7.64
2013-01-01,7.78
2014-01-01,8
2015-01-01,8.23
2016-01-01,8.31
2017-01-01,9.3
2018-01-01,10.2
2019-01-01,11.1
2020-01-01,12.00
2021-01-01,12.32
2022-01-01,12.56
2023-01-01,13.65
