DATE,STTMINWGIL
1972-01-01,1.4
1973-01-01,1.4
1974-01-01,1.4
1975-01-01,1.4
1976-01-01,2.1
1977-01-01,2.1
1978-01-01,2.1
1979-01-01,2.3
1980-01-01,2.3
1981-01-01,2.3
1982-01-01,2.3
1983-01-01,2.3
1984-01-01,2.3
1985-01-01,2.3
1986-01-01,2.3
1987-01-01,2.3
1988-01-01,2.3
1989-01-01,2.3
1990-01-01,2.3
1991-01-01,3.8
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.25
1997-01-01,4.75
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.15
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.5
2005-01-01,6.5
2006-01-01,6.5
2007-01-01,6.5
2008-01-01,7.5
2009-01-01,7.75
2010-01-01,8
2011-01-01,8.25
2012-01-01,8.25
2013-01-01,8.25
2014-01-01,8.25
2015-01-01,8.25
2016-01-01,8.25
2017-01-01,8.25
2018-01-01,8.25
2019-01-01,8.25
2020-01-01,10.00
2021-01-01,11.00
2022-01-01,12.00
2023-01-01,13.00
