DATE,STTMINWGMA
1968-01-01,1.6
1969-01-01,1.6
1970-01-01,1.6
1971-01-01,1.6
1972-01-01,1.75
1973-01-01,1.75
1974-01-01,1.75
1975-01-01,1.75
1976-01-01,2.1
1977-01-01,2.1
1978-01-01,2.1
1979-01-01,2.9
1980-01-01,3.1
1981-01-01,3.35
1982-01-01,3.35
1983-01-01,3.35
1984-01-01,3.35
1985-01-01,3.35
1986-01-01,3.35
1987-01-01,3.35
1988-01-01,3.65
1989-01-01,3.65
1990-01-01,3.65
1991-01-01,3.75
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.75
1997-01-01,5.25
1998-01-01,5.25
1999-01-01,5.25
2000-01-01,6
2001-01-01,6.75
2002-01-01,6.75
2003-01-01,6.75
2004-01-01,6.75
2005-01-01,6.75
2006-01-01,6.75
2007-01-01,7.5
2008-01-01,8
2009-01-01,8
2010-01-01,8
2011-01-01,8
2012-01-01,8
2013-01-01,8
2014-01-01,8
2015-01-01,9
2016-01-01,10
2017-01-01,11
2018-01-01,11
2019-01-01,12
2020-01-01,12.75
2021-01-01,13.50
2022-01-01,14.25
2023-01-01,15.00
