DATE,STTMINWGMI
1968-01-01,1.25
1969-01-01,1.25
1970-01-01,1.25
1971-01-01,1.25
1972-01-01,1.6
1973-01-01,1.6
1974-01-01,1.6
1975-01-01,1.6
1976-01-01,2.2
1977-01-01,2.2
1978-01-01,2.2
1979-01-01,2.9
1980-01-01,3.1
1981-01-01,3.35
1982-01-01,3.35
1983-01-01,3.35
1984-01-01,3.35
1985-01-01,3.35
1986-01-01,3.35
1987-01-01,3.35
1988-01-01,3.35
1989-01-01,3.35
1990-01-01,3.35
1991-01-01,3.35
1992-01-01,3.35
1993-01-01,3.35
1994-01-01,3.35
1995-01-01,3.35
1996-01-01,3.35
1997-01-01,3.35
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.15
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,5.15
2007-01-01,6.95
2008-01-01,7.15
2009-01-01,7.4
2010-01-01,7.4
2011-01-01,7.4
2012-01-01,7.4
2013-01-01,7.4
2014-01-01,8.15
2015-01-01,8.15
2016-01-01,8.5
2017-01-01,8.9
2018-01-01,9.25
2019-01-01,9.45
2020-01-01,9.65
2021-01-01,9.65
2022-01-01,9.87
2023-01-01,10.10
