DATE,STTMINWGMO
1991-01-01,3.8
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.25
1997-01-01,4.75
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.15
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,5.15
2007-01-01,6.5
2008-01-01,6.65
2009-01-01,7.05
2010-01-01,7.25
2011-01-01,7.25
2012-01-01,7.25
2013-01-01,7.35
2014-01-01,7.5
2015-01-01,7.65
2016-01-01,7.65
2017-01-01,7.70
2018-01-01,7.85
2019-01-01,8.6
2020-01-01,9.45
2021-01-01,10.30
2022-01-01,11.15
2023-01-01,12.00
