DATE,STTMINWGMT
1972-01-01,1.6
1973-01-01,1.6
1974-01-01,1.6
1975-01-01,1.6
1976-01-01,1.8
1977-01-01,1.8
1978-01-01,1.8
1979-01-01,2
1980-01-01,2
1981-01-01,2
1982-01-01,2
1983-01-01,2
1984-01-01,2
1985-01-01,2
1986-01-01,2
1987-01-01,2
1988-01-01,3.35
1989-01-01,3.35
1990-01-01,3.35
1991-01-01,3.8
1992-01-01,4.25
1993-01-01,4.25
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.25
1997-01-01,4.75
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.15
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,5.15
2007-01-01,6.15
2008-01-01,6.25
2009-01-01,6.9
2010-01-01,7.25
2011-01-01,7.35
2012-01-01,7.65
2013-01-01,7.8
2014-01-01,7.9
2015-01-01,8.05
2016-01-01,8.05
2017-01-01,8.15
2018-01-01,8.3
2019-01-01,8.5
2020-01-01,8.65
2021-01-01,8.75
2022-01-01,9.20
2023-01-01,9.95
