DATE,STTMINWGOR
1968-01-01,1.25
1969-01-01,1.25
1970-01-01,1.25
1971-01-01,1.25
1972-01-01,1.25
1973-01-01,1.25
1974-01-01,1.25
1975-01-01,1.25
1976-01-01,2.3
1977-01-01,2.3
1978-01-01,2.3
1979-01-01,2.3
1980-01-01,2.9
1981-01-01,3.1
1982-01-01,3.1
1983-01-01,3.1
1984-01-01,3.1
1985-01-01,3.1
1986-01-01,3.1
1987-01-01,3.1
1988-01-01,3.35
1989-01-01,3.35
1990-01-01,3.35
1991-01-01,4.75
1992-01-01,4.75
1993-01-01,4.75
1994-01-01,4.75
1995-01-01,4.75
1996-01-01,4.75
1997-01-01,5.5
1998-01-01,6
1999-01-01,6
2000-01-01,6.5
2001-01-01,6.5
2002-01-01,6.5
2003-01-01,6.9
2004-01-01,7.05
2005-01-01,7.25
2006-01-01,7.5
2007-01-01,7.8
2008-01-01,7.95
2009-01-01,8.4
2010-01-01,8.4
2011-01-01,8.5
2012-01-01,8.8
2013-01-01,8.95
2014-01-01,9.1
2015-01-01,9.25
2016-01-01,9.75
2017-01-01,10.25
2018-01-01,10.75
2019-01-01,11.25
2020-01-01,12.00
2021-01-01,12.75
2022-01-01,13.50
2023-01-01,13.50
