DATE,STTMINWGRI
1968-01-01,1.4
1969-01-01,1.4
1970-01-01,1.6
1971-01-01,1.6
1972-01-01,1.6
1973-01-01,1.6
1974-01-01,1.6
1975-01-01,1.6
1976-01-01,2.3
1977-01-01,2.3
1978-01-01,2.3
1979-01-01,2.3
1980-01-01,2.65
1981-01-01,2.9
1982-01-01,2.9
1983-01-01,2.9
1984-01-01,2.9
1985-01-01,2.9
1986-01-01,2.9
1987-01-01,2.9
1988-01-01,3.65
1989-01-01,3.65
1990-01-01,3.65
1991-01-01,4.25
1992-01-01,4.45
1993-01-01,4.45
1994-01-01,4.45
1995-01-01,4.45
1996-01-01,4.45
1997-01-01,5.15
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.65
2001-01-01,6.15
2002-01-01,6.15
2003-01-01,6.15
2004-01-01,6.75
2005-01-01,6.75
2006-01-01,6.75
2007-01-01,7.4
2008-01-01,7.4
2009-01-01,7.4
2010-01-01,7.4
2011-01-01,7.4
2012-01-01,7.4
2013-01-01,7.75
2014-01-01,8
2015-01-01,9
2016-01-01,9.6
2017-01-01,9.6
2018-01-01,10.1
2019-01-01,10.5
2020-01-01,10.50
2021-01-01,11.50
2022-01-01,12.25
2023-01-01,13.00
