DATE,STTMINWGWI
1968-01-01,1.25
1969-01-01,1.25
1970-01-01,1.3
1971-01-01,1.3
1972-01-01,1.45
1973-01-01,1.45
1974-01-01,1.45
1975-01-01,1.45
1976-01-01,2.1
1977-01-01,2.1
1978-01-01,2.1
1979-01-01,2.8
1980-01-01,3
1981-01-01,3.25
1982-01-01,3.25
1983-01-01,3.25
1984-01-01,3.25
1985-01-01,3.25
1986-01-01,3.25
1987-01-01,3.25
1988-01-01,3.35
1989-01-01,3.35
1990-01-01,3.35
1991-01-01,3.8
1992-01-01,3.8
1993-01-01,3.8
1994-01-01,4.25
1995-01-01,4.25
1996-01-01,4.25
1997-01-01,4.75
1998-01-01,5.15
1999-01-01,5.15
2000-01-01,5.15
2001-01-01,5.15
2002-01-01,5.15
2003-01-01,5.15
2004-01-01,5.15
2005-01-01,5.15
2006-01-01,5.7
2007-01-01,6.5
2008-01-01,6.5
2009-01-01,6.5
2010-01-01,7.25
2011-01-01,7.25
2012-01-01,7.25
2013-01-01,7.25
2014-01-01,7.25
2015-01-01,7.25
2016-01-01,7.25
2017-01-01,7.25
2018-01-01,7.25
2019-01-01,7.25
2020-01-01,7.25
2021-01-01,7.25
2022-01-01,7.25
2023-01-01,7.25
