DATE,MARVAC
1986-01-01,3.8
1987-01-01,3.6
1988-01-01,4.4
1989-01-01,5.0
1990-01-01,6.9
1991-01-01,8.3
1992-01-01,8.8
1993-01-01,7.8
1994-01-01,7.1
1995-01-01,6.2
1996-01-01,5.8
1997-01-01,5.2
1998-01-01,5.7
1999-01-01,4.7
2000-01-01,3.5
2001-01-01,3.3
2002-01-01,4.9
2003-01-01,5.2
2004-01-01,6.5
2005-01-01,5.7
2006-01-01,6.2
2007-01-01,5.7
2008-01-01,6.5
2009-01-01,6.0
2010-01-01,6.6
2011-01-01,5.8
2012-01-01,6.5
2013-01-01,7.3
2014-01-01,5.6
2015-01-01,4.2
2016-01-01,4.1
2017-01-01,4.9
2018-01-01,4.2
2019-01-01,3.6
2020-01-01,4.6
2021-01-01,4.2
2022-01-01,2.8
