DATE,NERVAC
1986-01-01,8.3
1987-01-01,6.7
1988-01-01,7.0
1989-01-01,6.6
1990-01-01,6.5
1991-01-01,8.1
1992-01-01,7.5
1993-01-01,5.9
1994-01-01,5.5
1995-01-01,5.5
1996-01-01,6.6
1997-01-01,6.3
1998-01-01,7.3
1999-01-01,9.9
2000-01-01,7.4
2001-01-01,9.3
2002-01-01,10.2
2003-01-01,10.0
2004-01-01,9.5
2005-01-01,10.3
2006-01-01,10.2
2007-01-01,10.2
2008-01-01,9.0
2009-01-01,8.9
2010-01-01,7.2
2011-01-01,8.1
2012-01-01,7.5
2013-01-01,6.5
2014-01-01,5.5
2015-01-01,5.9
2016-01-01,6.5
2017-01-01,7.0
2018-01-01,7.3
2019-01-01,6.5
2020-01-01,6.5
2021-01-01,5.7
2022-01-01,5.2
